name,artist,listeners,play_count,url,tags,num_tracks,data_quality
OK Computer,Radiohead,4700000,251500000,https://www.last.fm/music/Radiohead/OK+Computer,alternative; alternative rock; rock; radiohead; indie; 1997,12,1.0
In Rainbows,Radiohead,3900000,244200000,https://www.last.fm/music/Radiohead/In+Rainbows,alternative; alternative rock; rock; radiohead; indie; indie rock,10,1.0
The Bends,Radiohead,3600000,173600000,https://www.last.fm/music/Radiohead/The+Bends,alternative rock; alternative; rock; 90s; radiohead; 1995,12,1.0
"Kiss All The Time. Disco, Occasionally.",Harry Styles,559800,23800000,"https://www.last.fm/music/Harry+Styles/Kiss+All+The+Time.+Disco,+Occasionally.",2026; synthpop; pop; indietronica; disco; rock; pop rock,12,1.0
Harry's House,Harry Styles,2200000,155500000,https://www.last.fm/music/Harry+Styles/Harry%27s+House,2022; pop; pop rock; synthpop; soft rock; rock,13,1.0
Fine Line,Harry Styles,2300000,132199999,https://www.last.fm/music/Harry+Styles/Fine+Line,pop; rock; indie pop; 2010s; pop rock,12,1.0
Hybrid Theory (Bonus Edition),Linkin Park,2100000,77600000,https://www.last.fm/music/Linkin+Park/Hybrid+Theory+(Bonus+Edition),alternative metal; alternative rock; nu metal; rap rock; rap metal; rock; hip hop,15,1.0
Meteora,Linkin Park,3900000,115900000,https://www.last.fm/music/Linkin+Park/Meteora,nu metal; rock; alternative rock; linkin park; alternative; hip hop,13,1.0
Meteora (Bonus Edition),Linkin Park,1300000,44600000,https://www.last.fm/music/Linkin+Park/Meteora+(Bonus+Edition),alternative metal; rapcore; rap rock; nu metal; rap metal; rock; alternative rock; hip hop,16,1.0
Californication (Deluxe Edition),Red Hot Chili Peppers,2000000,45500000,https://www.last.fm/music/Red+Hot+Chili+Peppers/Californication+(Deluxe+Edition),1999; alternative rock; funk rock; rock; alternative,18,1.0
By the Way (Deluxe Edition),Red Hot Chili Peppers,1700000,34000000,https://www.last.fm/music/Red+Hot+Chili+Peppers/By+the+Way+(Deluxe+Edition),2002; rock; alternative rock; american; blue; funk rock,18,1.0
Stadium Arcadium,Red Hot Chili Peppers,3000000,79200000,https://www.last.fm/music/Red+Hot+Chili+Peppers/Stadium+Arcadium,rock; alternative rock; funk rock; alternative; 2006,28,1.0
Parachutes,Coldplay,4800000,131500000,https://www.last.fm/music/Coldplay/Parachutes,rock; alternative; coldplay; britpop; alternative rock,10,1.0
A Rush of Blood to the Head,Coldplay,4300000,104000000,https://www.last.fm/music/Coldplay/A+Rush+of+Blood+to+the+Head,rock; britpop; alternative; coldplay; alternative rock; 2002; guitar-pop; ballad; acoustic; epic rock,11,1.0
A Head Full of Dreams,Coldplay,1800000,31700000,https://www.last.fm/music/Coldplay/A+Head+Full+of+Dreams,pop; rock; alternative; beyonce; alternative rock,11,1.0
Rumours (Super Deluxe),Fleetwood Mac,2500000,67800000,https://www.last.fm/music/Fleetwood+Mac/Rumours+(Super+Deluxe),classic rock; 70s; rock; fleetwood mac; pop,58,1.0
Fleetwood Mac,Fleetwood Mac,1800000,30400000,https://www.last.fm/music/Fleetwood+Mac/Fleetwood+Mac,classic rock; 70s; rock; fleetwood mac; female vocalists,11,1.0
Rumours,Fleetwood Mac,2200000,55200000,https://www.last.fm/music/Fleetwood+Mac/Rumours,classic rock; 70s; rock; fleetwood mac; pop,11,1.0
The Black Parade,My Chemical Romance,3400000,173600000,https://www.last.fm/music/My+Chemical+Romance/The+Black+Parade,rock; alternative; alternative rock; punk rock; emo,14,1.0
Three Cheers for Sweet Revenge,My Chemical Romance,2700000,154300000,https://www.last.fm/music/My+Chemical+Romance/Three+Cheers+for+Sweet+Revenge,rock; emo; alternative; punk; punk rock,13,1.0
"I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,977100,49600000,"https://www.last.fm/music/My+Chemical+Romance/I+Brought+You+My+Bullets,+You+Brought+Me+Your+Love",rock; emo; punk rock; alternative rock; alternative,11,1.0
Songs About Jane: 10th Anniversary Edition,Maroon 5,1800000,24700000,https://www.last.fm/music/Maroon+5/Songs+About+Jane:+10th+Anniversary+Edition,rock; pop; pop rock; maroon 5; alternative,29,1.0
V,Maroon 5,1900000,27800000,https://www.last.fm/music/Maroon+5/V,pop; cult; 2014; love at first listen; romantic; pop rock; rock,15,1.0
Overexposed Track By Track,Maroon 5,1200000,13900000,https://www.last.fm/music/Maroon+5/Overexposed+Track+By+Track,pop; maroon 5; rock; pop rock; 2012,33,1.0
Weezer,Weezer,3100000,82900000,https://www.last.fm/music/Weezer/Weezer,alternative rock; rock; alternative; 90s; weezer; power pop,10,1.0
Everything Will Be Alright in the End,Weezer,445000,8100000,https://www.last.fm/music/Weezer/Everything+Will+Be+Alright+in+the+End,2014; power pop; alternative rock; rock; alternative,13,1.0
Pinkerton - Deluxe Edition,Weezer,781700,21400000,https://www.last.fm/music/Weezer/Pinkerton+-+Deluxe+Edition,alternative rock; rock; alternative; emo; power pop,36,1.0
Abbey Road (Remastered),The Beatles,2200000,67800000,https://www.last.fm/music/The+Beatles/Abbey+Road+(Remastered),pop rock; rock; classic rock; 60s; psychedelic pop,17,1.0
The Beatles (Remastered),The Beatles,1700000,54900000,https://www.last.fm/music/The+Beatles/The+Beatles+(Remastered),rock; classic rock; folk; pop rock; hard rock; 60s,30,1.0
Rubber Soul (Remastered 2009),The Beatles,659900,9800000,https://www.last.fm/music/The+Beatles/Rubber+Soul+(Remastered+2009),folk rock; rock; classic rock; pop; pop rock; 60s,0,0.75
"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,2600000,58500000,"https://www.last.fm/music/The+Cranberries/Everybody+Else+Is+Doing+It,+So+Why+Can%27t+We%3F",rock; 90s; alternative; alternative rock; irish,12,1.0
No Need To Argue (2025 Remastered),The Cranberries,327800,1300000,https://www.last.fm/music/The+Cranberries/No+Need+To+Argue+(2025+Remastered),rock; alternative; alternative rock; female vocalists; irish,0,0.75
No Need to Argue (The Complete Sessions 1994-1995),The Cranberries,1500000,16000000,https://www.last.fm/music/The+Cranberries/No+Need+to+Argue+(The+Complete+Sessions+1994-1995),90s; rock; irish; alternative; the cranberries; alternative rock,18,1.0
Hot Space (2011 Remaster),Queen,1200000,11300000,https://www.last.fm/music/Queen/Hot+Space+(2011+Remaster),rock; my top songs; classic rock; 80s; funk rock; hard rock,11,1.0
Jazz (2011 Remaster),Queen,1400000,13700000,https://www.last.fm/music/Queen/Jazz+(2011+Remaster),rock; pop rock; classic rock; piano rock; hard rock,13,1.0
A Night At The Opera (2011 Remaster),Queen,1400000,14300000,https://www.last.fm/music/Queen/A+Night+At+The+Opera+(2011+Remaster),classic rock; rock; hard rock; progressive rock; art rock,12,1.0
The Colour and the Shape,Foo Fighters,3500000,77200000,https://www.last.fm/music/Foo+Fighters/The+Colour+and+the+Shape,rock; alternative rock; alternative; 90s; grunge,13,1.0
"Echoes, Silence, Patience & Grace",Foo Fighters,2100000,32400000,"https://www.last.fm/music/Foo+Fighters/Echoes,+Silence,+Patience+&+Grace",rock; alternative rock; grunge; alternative; foo fighters,12,1.0
There Is Nothing Left to Lose,Foo Fighters,1900000,26800000,https://www.last.fm/music/Foo+Fighters/There+Is+Nothing+Left+to+Lose,alternative rock; rock; grunge; alternative; foo fighters,11,1.0
A Fever You Can't Sweat Out,Panic! at the Disco,2600000,107800000,https://www.last.fm/music/Panic!+at+the+Disco/A+Fever+You+Can%27t+Sweat+Out,alternative; rock; emo; indie; alternative rock,13,1.0
Death of a Bachelor,Panic! at the Disco,1500000,43100000,https://www.last.fm/music/Panic!+at+the+Disco/Death+of+a+Bachelor,2016; alternative; pop; rock; pop rock; indie; fueled by ramen; dcd2,11,1.0
Vices & Virtues,Panic! at the Disco,946000,27600000,https://www.last.fm/music/Panic!+at+the+Disco/Vices+&+Virtues,alternative rock; 2011; rock; pop rock; alternative; indie; fueled by ramen,10,1.0
The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),David Bowie,1500000,35700000,https://www.last.fm/music/David+Bowie/The+Rise+and+Fall+of+Ziggy+Stardust+and+the+Spiders+from+Mars+(2012+Remaster),glam rock; art rock; pop rock; rock opera; proto-punk; rock; classic rock,11,1.0
"""Heroes"" (2017 remaster)",David Bowie,1100000,11900000,https://www.last.fm/music/David+Bowie/%22Heroes%22+(2017+remaster),art rock; ambient; electronic; krautrock; art pop; glam rock; rock; classic rock,10,1.0
Hunky Dory (2015 Remaster),David Bowie,931500,16300000,https://www.last.fm/music/David+Bowie/Hunky+Dory+(2015+Remaster),glam rock; pop rock; art pop; baroque pop; art rock; rock; classic rock,11,1.0
Synchronicity (Remastered 2003),The Police,1800000,20200000,https://www.last.fm/music/The+Police/Synchronicity+(Remastered+2003),rock; old; the police; medium; 1983; new wave; 80s,0,0.75
Reggatta de Blanc (Remastered 2003),The Police,841900,8100000,https://www.last.fm/music/The+Police/Reggatta+de+Blanc+(Remastered+2003),the police; rock; new wave; 80s,0,0.75
Outlandos D'Amour (Remastered 2003),The Police,1000000,9700000,https://www.last.fm/music/The+Police/Outlandos+D%27Amour+(Remastered+2003),punk; 70s; new wave; the police; 1978; rock; 80s,0,0.75
Nevermind (Remastered),Nirvana,2800000,95100000,https://www.last.fm/music/Nirvana/Nevermind+(Remastered),grunge; rock; alternative; 90s; nirvana; alternative rock,13,1.0
In Utero (Deluxe Edition),Nirvana,1300000,20500000,https://www.last.fm/music/Nirvana/In+Utero+(Deluxe+Edition),grunge; usa; rock; alternative; alternative rock,43,1.0
In Utero,Nirvana,2700000,56600000,https://www.last.fm/music/Nirvana/In+Utero,grunge; rock; 90s; alternative; alternative rock,12,1.0
Dizzy Up the Girl,Goo Goo Dolls,1200000,11800000,https://www.last.fm/music/Goo+Goo+Dolls/Dizzy+Up+the+Girl,rock; alternative rock; 90s; alternative; goo goo dolls,13,1.0
A Boy Named Goo,Goo Goo Dolls,180800,2200000,https://www.last.fm/music/Goo+Goo+Dolls/A+Boy+Named+Goo,alternative rock; rock; 90s; alternative; 1995,13,1.0
Gutterflower,Goo Goo Dolls,268900,2800000,https://www.last.fm/music/Goo+Goo+Dolls/Gutterflower,alternative rock; rock; alternative; acoustic; goo goo dolls,12,1.0
American Idiot,Green Day,3500000,81600000,https://www.last.fm/music/Green+Day/American+Idiot,punk rock; rock; punk; alternative; green day,1,1.0
Dookie,Green Day,3100000,70000000,https://www.last.fm/music/Green+Day/Dookie,punk rock; punk; 4 stars; rock; 90s,15,1.0
Insomniac,Green Day,1400000,24000000,https://www.last.fm/music/Green+Day/Insomniac,punk rock; punk; rock; 90s; green day,14,1.0
From Under the Cork Tree,Fall Out Boy,2600000,79200000,https://www.last.fm/music/Fall+Out+Boy/From+Under+the+Cork+Tree,pop punk; rock; emo; punk; fall out boy; alternative,13,1.0
Infinity on High,Fall Out Boy,2300000,78200000,https://www.last.fm/music/Fall+Out+Boy/Infinity+on+High,rock; pop punk; alternative; fall out boy; emo,14,1.0
American Beauty/American Psycho,Fall Out Boy,1400000,32799999,https://www.last.fm/music/Fall+Out+Boy/American+Beauty%2FAmerican+Psycho,rock; pop punk; pop rock; alternative; pop,11,1.0
Man’s Best Friend,Sabrina Carpenter,1300000,104800000,https://www.last.fm/music/Sabrina+Carpenter/Man%E2%80%99s+Best+Friend,pop; 2025; country pop; synthpop; dance-pop; female vocalists; rnb; island records; island reco…,12,1.0
Short n' Sweet,Sabrina Carpenter,2100000,176800000,https://www.last.fm/music/Sabrina+Carpenter/Short+n%27+Sweet,2024; pop; aoty; dance-pop; best of 2024; female vocalists; rnb,2,1.0
