name,listeners,play_count,url,top_tags,tag_count,data_quality
Radiohead,8199999,1360000000,https://www.last.fm/music/Radiohead,alternative; rock; alternative rock; indie; electronic,5,1.0
Paramore,5600000,578800000,https://www.last.fm/music/Paramore,rock; pop punk; alternative; female vocalists; alternative rock,5,1.0
Harry Styles,3300000,434000000,https://www.last.fm/music/Harry+Styles,pop; rock; pop rock; alternative; british,5,1.0
Linkin Park,6900000,737200000,https://www.last.fm/music/Linkin+Park,nu metal; rock; alternative rock; alternative; linkin park; hip hop,6,1.0
Red Hot Chili Peppers,7200000,557100000,https://www.last.fm/music/Red+Hot+Chili+Peppers,rock; alternative rock; funk rock; alternative; funk,5,1.0
Coldplay,9100000,777600000,https://www.last.fm/music/Coldplay,rock; alternative; alternative rock; britpop; coldplay,5,1.0
Fleetwood Mac,4800000,294900000,https://www.last.fm/music/Fleetwood+Mac,classic rock; rock; 70s; blues; fleetwood mac,5,1.0
My Chemical Romance,4800000,542100000,https://www.last.fm/music/My+Chemical+Romance,rock; alternative; emo; punk rock; alternative rock,5,1.0
Maroon 5,6600000,285600000,https://www.last.fm/music/Maroon+5,pop; pop rock; rock; alternative; maroon 5,5,1.0
Weezer,5400000,296900000,https://www.last.fm/music/Weezer,alternative rock; rock; alternative; indie; indie rock; power pop,6,1.0
The Beatles,6500000,1090000000,https://www.last.fm/music/The+Beatles,classic rock; rock; 60s; british; pop,5,1.0
The Cranberries,4700000,157100000,https://www.last.fm/music/The+Cranberries,rock; alternative; alternative rock; female vocalists; irish,5,1.0
Queen,7200000,423600000,https://www.last.fm/music/Queen,classic rock; rock; hard rock; glam rock; 80s,5,1.0
Foo Fighters,6300000,362000000,https://www.last.fm/music/Foo+Fighters,rock; alternative rock; grunge; alternative; hard rock,5,1.0
Panic! at the Disco,4400000,318300000,https://www.last.fm/music/Panic!+at+the+Disco,alternative; rock; indie; pop punk; alternative rock,5,1.0
David Bowie,5600000,402600000,https://www.last.fm/music/David+Bowie,glam rock; rock; classic rock; 80s; 70s,5,1.0
The Police,4600000,110600000,https://www.last.fm/music/The+Police,rock; new wave; 80s; classic rock; pop,5,1.0
Nirvana,7500000,577600000,https://www.last.fm/music/Nirvana,grunge; rock; alternative; alternative rock; 90s,5,1.0
Goo Goo Dolls,1800000,34900000,https://www.last.fm/music/Goo+Goo+Dolls,rock; alternative rock; alternative; 90s; pop,5,1.0
Green Day,6600000,443200000,https://www.last.fm/music/Green+Day,punk rock; rock; punk; pop punk; alternative,5,1.0
Fall Out Boy,5100000,419600000,https://www.last.fm/music/Fall+Out+Boy,pop punk; rock; alternative; emo; fall out boy,5,1.0
Sabrina Carpenter,3200000,646400000,https://www.last.fm/music/Sabrina+Carpenter,pop; female vocalists; rnb; american; my top songs,5,1.0
Ariana Grande,4400000,1100000000,https://www.last.fm/music/Ariana+Grande,pop; rnb; female vocalists; ariana grande; trap,5,1.0
Lady Gaga,7700000,1020000000,https://www.last.fm/music/Lady+Gaga,pop; dance; electronic; female vocalists; lady gaga,5,1.0
Bruno Mars,5200000,297100000,https://www.last.fm/music/Bruno+Mars,pop; rnb; male vocalists; r&b; bruno mars,5,1.0
Rihanna,8300000,595500000,https://www.last.fm/music/Rihanna,pop; rnb; dance; female vocalists; rihanna,5,1.0
Michael Jackson,6800000,349800000,https://www.last.fm/music/Michael+Jackson,pop; 80s; michael jackson; soul; dance,5,1.0
Britney Spears,6400000,492500000,https://www.last.fm/music/Britney+Spears,pop; dance; britney spears; female vocalists; sexy,5,1.0
Katy Perry,7100000,434700000,https://www.last.fm/music/Katy+Perry,pop; female vocalists; pop rock; katy perry; dance,5,1.0
Chappell Roan,2500000,331500000,https://www.last.fm/music/Chappell+Roan,pop; indie pop; synthpop; queer; electropop; synth-pop,6,1.0
Justin Bieber,4700000,319300000,https://www.last.fm/music/Justin+Bieber,pop; black metal; justin bieber; rnb; hip-hop,5,1.0
Olivia Rodrigo,3100000,550700000,https://www.last.fm/music/Olivia+Rodrigo,pop; pop rock; rock; indie pop; pop punk,5,1.0
Addison Rae,1500000,111400000,https://www.last.fm/music/Addison+Rae,pop; american; electropop; alt-pop; queen of pop,5,1.0
Billie Eilish,4200000,827100000,https://www.last.fm/music/Billie+Eilish,pop; indie pop; electropop; art pop; peter,5,1.0
Zara Larsson,2300000,83200000,https://www.last.fm/music/Zara+Larsson,pop; swedish; female vocalists; sweden; indie,5,1.0
Tate McRae,2200000,277100000,https://www.last.fm/music/Tate+McRae,pop; my top songs; canadian; electropop; tate made this for me,5,1.0
Taylor Swift,5900000,3650000000,https://www.last.fm/music/Taylor+Swift,pop; country; female vocalists; singer-songwriter; synthpop,5,1.0
Charli xcx,3700000,712300000,https://www.last.fm/music/Charli+xcx,pop; synthpop; electronic; electropop; bubblegum bass,5,1.0
Doja Cat,3600000,463600000,https://www.last.fm/music/Doja+Cat,pop; rnb; rap; hip-hop; pop rap,5,1.0
Dua Lipa,3300000,317900000,https://www.last.fm/music/Dua+Lipa,pop; synthpop; electropop; british; dance-pop,5,1.0
Miley Cyrus,4800000,299000000,https://www.last.fm/music/Miley+Cyrus,pop; female vocalists; dance; miley cyrus; disney,5,1.0
The Weeknd,5300000,1110000000,https://www.last.fm/music/The+Weeknd,rnb; electronic; canadian; dubstep; r&b,5,1.0
Gorillaz,0,0,https://www.last.fm/music/Gorillaz,,0,0.0
Calvin Harris,5000000,206900000,https://www.last.fm/music/Calvin+Harris,electronic; dance; electro; disco; house,5,1.0
