name,artist,duration_seconds,listeners,play_count,url,tags,data_quality
Creep,Radiohead,235,4048087,59400000,https://www.last.fm/music/Radiohead/_/Creep,alternative; alternative rock; rock; indie; radiohead,1.0
No Surprises,Radiohead,229,3339912,54400000,https://www.last.fm/music/Radiohead/_/No+Surprises,alternative; alternative rock; radiohead; rock; indie,1.0
Karma Police,Radiohead,262,3300000,42300000,https://www.last.fm/music/Radiohead/_/Karma+Police,alternative; alternative rock; rock; indie; radiohead; 1997; 1996; rhodes piano,1.0
High and Dry,Radiohead,258,2500000,28700000,https://www.last.fm/music/Radiohead/_/High+and+Dry,alternative; alternative rock; rock; 90s; radiohead,1.0
Let Down,Radiohead,337,2500000,39600000,https://www.last.fm/music/Radiohead/_/Let+Down,alternative; alternative rock; rock; radiohead; beautiful,1.0
Misery Business,Paramore,211,2700000,36900000,https://www.last.fm/music/Paramore/_/Misery+Business,rock; pop punk; female vocalists; paramore; alternative,1.0
Still Into You,Paramore,216,2000000,27000000,https://www.last.fm/music/Paramore/_/Still+Into+You,rock; pop; 2013; pop rock; kick; pop punk; alternative,1.0
The Only Exception,Paramore,267,1913139,24200000,https://www.last.fm/music/Paramore/_/The+Only+Exception,acoustic; alternative; paramore; love; female vocalists; rock; pop punk,1.0
All I Wanted,Paramore,225,1729122,23600000,https://www.last.fm/music/Paramore/_/All+I+Wanted,rock; alternative rock; paramore; female vocalists; alternative; pop punk,1.0
That's What You Get,Paramore,244,1700000,18300000,https://www.last.fm/music/Paramore/_/That%27s+What+You+Get,rock; pop punk; female vocalists; alternative; paramore,1.0
As It Was,Harry Styles,165,2000000,41600000,https://www.last.fm/music/Harry+Styles/_/As+It+Was,pop; rock and roll over; wsum 91.7 fm madison; synthpop; rock; pop rock,1.0
Watermelon Sugar,Harry Styles,174,1500364,19600000,https://www.last.fm/music/Harry+Styles/_/Watermelon+Sugar,pop; rock; 2019; indie pop; pop rock,1.0
Adore You,Harry Styles,207,1419327,20300000,https://www.last.fm/music/Harry+Styles/_/Adore+You,pop; 2010s; rock; pop rock,1.0
Sign of the Times,Harry Styles,335,1409304,17900000,https://www.last.fm/music/Harry+Styles/_/Sign+of+the+Times,rock; alternative; pop; indie; british; pop rock; singer-songwriter,1.0
Falling,Harry Styles,0,1100000,14500000,https://www.last.fm/music/Harry+Styles/_/Falling,pop; rock; alternative; soul; pop rock,0.75
In the End,Linkin Park,216,3245483,39100000,https://www.last.fm/music/Linkin+Park/_/In+the+End,rock; nu metal; alternative rock; linkin park; alternative; hip hop,1.0
Numb,Linkin Park,204,3015425,35700000,https://www.last.fm/music/Linkin+Park/_/Numb,rock; nu metal; alternative rock; linkin park; alternative; hip hop,1.0
Faint,Linkin Park,162,2308392,28900000,https://www.last.fm/music/Linkin+Park/_/Faint,nu metal; rock; linkin park; alternative rock; alternative; hip hop,1.0
One Step Closer,Linkin Park,156,2200000,24600000,https://www.last.fm/music/Linkin+Park/_/One+Step+Closer,nu metal; rock; linkin park; alternative rock; alternative; hip hop,1.0
What I've Done,Linkin Park,230,2121697,23100000,https://www.last.fm/music/Linkin+Park/_/What+I%27ve+Done,rock; alternative rock; linkin park; nu metal; alternative; hip hop,1.0
Californication,Red Hot Chili Peppers,329,3022638,27900000,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Californication,rock; alternative rock; alternative; red hot chili peppers; funk; funk rock,1.0
Scar Tissue,Red Hot Chili Peppers,215,2800000,27900000,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Scar+Tissue,rock; alternative rock; alternative; funk; red hot chili peppers; funk rock,1.0
Under the Bridge,Red Hot Chili Peppers,264,2800000,24900000,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Under+the+Bridge,rock; alternative; alternative rock; 90s; red hot chili peppers; funk rock,1.0
